n 200 
m 472
e 1 59
e 1 161
e 2 49
e 2 130
e 2 174
e 2 191
e 3 61
e 3 80
e 3 138
e 3 163
e 3 168
e 4 35
e 4 152
e 4 190
e 5 9
e 5 37
e 5 78
e 5 97
e 5 100
e 5 125
e 5 144
e 5 170
e 5 176
e 5 199
e 6 80
e 6 142
e 6 164
e 7 40
e 7 148
e 8 9
e 8 34
e 8 59
e 8 63
e 8 146
e 8 197
e 9 133
e 9 179
e 9 185
e 10 73
e 10 157
e 11 129
e 11 166
e 12 151
e 13 83
e 13 104
e 13 163
e 13 190
e 13 192
e 14 19
e 14 54
e 14 58
e 15 33
e 15 40
e 15 160
e 15 179
e 15 195
e 17 47
e 17 57
e 17 76
e 17 119
e 17 127
e 18 38
e 18 47
e 18 51
e 19 115
e 19 152
e 20 40
e 20 47
e 20 49
e 20 59
e 20 65
e 20 66
e 20 73
e 20 79
e 20 93
e 20 116
e 20 189
e 21 78
e 21 122
e 21 127
e 21 159
e 22 41
e 22 160
e 22 174
e 22 195
e 23 117
e 23 150
e 23 172
e 24 69
e 24 71
e 25 132
e 25 147
e 25 192
e 26 29
e 26 69
e 26 71
e 26 192
e 27 188
e 28 38
e 28 69
e 28 72
e 28 100
e 28 132
e 28 139
e 29 83
e 29 95
e 29 118
e 29 140
e 29 166
e 30 136
e 30 183
e 31 57
e 31 58
e 31 155
e 32 65
e 33 40
e 33 54
e 33 69
e 33 81
e 33 102
e 33 124
e 33 146
e 33 148
e 33 161
e 34 88
e 35 93
e 35 140
e 35 163
e 35 197
e 36 61
e 36 139
e 37 56
e 37 60
e 37 107
e 37 109
e 37 126
e 37 160
e 37 172
e 37 173
e 38 70
e 38 109
e 38 124
e 38 174
e 39 47
e 39 51
e 39 156
e 40 105
e 40 113
e 40 117
e 40 123
e 40 152
e 40 160
e 41 54
e 41 104
e 41 163
e 41 171
e 42 193
e 43 67
e 44 45
e 44 106
e 44 120
e 44 121
e 44 133
e 44 144
e 44 168
e 44 188
e 44 198
e 45 79
e 45 83
e 45 93
e 45 96
e 45 124
e 45 175
e 46 68
e 46 148
e 47 87
e 47 195
e 48 80
e 49 68
e 49 81
e 49 106
e 49 156
e 49 170
e 49 184
e 50 95
e 50 115
e 50 143
e 50 195
e 51 121
e 51 175
e 52 110
e 52 132
e 52 153
e 54 76
e 54 149
e 54 152
e 55 59
e 55 149
e 56 95
e 56 115
e 56 134
e 56 158
e 57 60
e 57 64
e 57 105
e 57 126
e 57 128
e 57 161
e 57 164
e 57 193
e 58 77
e 58 110
e 58 148
e 58 178
e 58 181
e 58 191
e 59 71
e 59 76
e 60 162
e 60 172
e 60 173
e 61 71
e 61 137
e 61 141
e 61 145
e 61 197
e 62 63
e 62 67
e 62 87
e 62 97
e 62 129
e 63 68
e 63 75
e 63 115
e 63 116
e 63 131
e 63 133
e 63 166
e 64 97
e 64 111
e 64 113
e 64 119
e 64 178
e 66 95
e 66 106
e 66 113
e 66 118
e 66 191
e 67 94
e 67 151
e 67 157
e 67 159
e 69 82
e 69 110
e 69 148
e 69 159
e 69 178
e 69 187
e 69 195
e 70 116
e 71 128
e 71 165
e 71 194
e 72 85
e 72 163
e 72 171
e 73 77
e 73 106
e 73 160
e 73 173
e 73 199
e 74 81
e 74 95
e 74 99
e 74 148
e 74 150
e 75 77
e 75 104
e 75 114
e 75 172
e 75 173
e 75 175
e 75 192
e 76 110
e 76 141
e 76 162
e 76 193
e 77 78
e 77 99
e 77 114
e 77 154
e 77 157
e 78 98
e 78 102
e 78 106
e 78 143
e 78 168
e 79 103
e 80 83
e 80 89
e 80 118
e 80 151
e 80 153
e 80 163
e 81 83
e 81 141
e 81 142
e 81 193
e 83 112
e 83 193
e 83 198
e 84 98
e 85 137
e 85 159
e 85 177
e 85 195
e 86 124
e 86 125
e 86 140
e 86 152
e 86 170
e 87 96
e 87 148
e 87 197
e 88 110
e 88 163
e 90 95
e 90 142
e 90 178
e 91 156
e 91 199
e 92 105
e 92 200
e 93 108
e 93 120
e 93 121
e 93 139
e 93 159
e 93 175
e 93 181
e 94 145
e 95 141
e 95 190
e 98 152
e 98 188
e 98 197
e 99 105
e 99 127
e 99 154
e 99 177
e 100 145
e 100 186
e 101 105
e 101 158
e 101 175
e 102 136
e 102 148
e 102 169
e 103 157
e 103 165
e 104 111
e 104 130
e 104 146
e 104 180
e 105 137
e 108 115
e 108 153
e 109 117
e 109 161
e 109 178
e 110 118
e 110 168
e 111 192
e 112 127
e 112 137
e 112 149
e 113 175
e 114 136
e 115 119
e 115 125
e 116 157
e 116 174
e 117 126
e 118 149
e 118 153
e 119 153
e 119 186
e 120 150
e 120 157
e 120 181
e 121 130
e 121 178
e 121 181
e 123 124
e 124 151
e 125 151
e 126 177
e 126 178
e 126 183
e 126 192
e 127 134
e 127 141
e 127 146
e 127 158
e 127 179
e 127 196
e 128 163
e 129 135
e 129 159
e 130 140
e 130 144
e 130 148
e 130 167
e 132 199
e 134 141
e 134 148
e 134 162
e 134 200
e 137 140
e 137 154
e 137 161
e 138 175
e 139 144
e 140 185
e 141 157
e 141 161
e 142 189
e 143 152
e 143 197
e 143 199
e 146 173
e 147 170
e 148 151
e 149 186
e 150 154
e 150 175
e 150 187
e 151 191
e 152 166
e 152 180
e 152 197
e 153 197
e 153 200
e 156 159
e 156 185
e 156 187
e 157 177
e 157 191
e 159 198
e 160 195
e 161 182
e 163 195
e 163 197
e 164 165
e 168 188
e 168 189
e 172 177
e 175 189
e 175 194
e 175 200
e 176 185
e 179 190
e 182 187
e 182 191
e 183 194
e 183 198
e 183 200
e 184 192
e 187 197
e 190 192
e 193 200
e 194 200
