n 200 
m 1009
e 1 5
e 1 74
e 1 78
e 1 123
e 1 177
e 1 183
e 2 35
e 2 96
e 2 102
e 2 156
e 2 157
e 2 160
e 3 48
e 3 68
e 3 109
e 3 116
e 3 123
e 3 166
e 3 187
e 3 197
e 3 199
e 4 12
e 4 104
e 4 108
e 4 131
e 4 163
e 4 184
e 5 65
e 5 93
e 5 94
e 5 107
e 5 146
e 5 147
e 5 150
e 5 158
e 5 176
e 5 177
e 6 19
e 6 57
e 6 75
e 6 88
e 6 98
e 6 105
e 6 113
e 6 131
e 6 138
e 6 139
e 6 143
e 6 157
e 6 175
e 6 195
e 6 197
e 7 27
e 7 103
e 7 136
e 7 149
e 8 25
e 8 30
e 8 84
e 8 117
e 8 133
e 8 148
e 8 160
e 8 185
e 9 18
e 9 43
e 9 132
e 9 136
e 9 137
e 10 14
e 10 21
e 10 22
e 10 25
e 10 32
e 10 50
e 10 101
e 10 114
e 10 167
e 10 188
e 11 14
e 11 17
e 11 35
e 11 78
e 11 111
e 11 116
e 11 117
e 11 146
e 11 156
e 11 177
e 11 184
e 11 190
e 11 194
e 11 198
e 12 26
e 12 28
e 12 67
e 12 69
e 12 84
e 12 140
e 12 157
e 12 162
e 12 197
e 13 79
e 13 81
e 13 124
e 13 136
e 13 162
e 14 44
e 14 117
e 14 173
e 14 185
e 14 195
e 15 58
e 15 173
e 15 174
e 15 185
e 15 198
e 16 48
e 16 55
e 16 69
e 16 117
e 16 126
e 16 167
e 16 177
e 17 27
e 17 49
e 17 52
e 17 60
e 17 85
e 17 117
e 17 140
e 17 165
e 17 184
e 17 187
e 17 195
e 17 197
e 18 26
e 18 27
e 18 64
e 18 76
e 18 84
e 18 90
e 18 94
e 18 124
e 18 159
e 18 189
e 19 30
e 19 45
e 19 57
e 19 74
e 19 95
e 19 117
e 19 123
e 19 160
e 19 193
e 20 32
e 20 59
e 20 61
e 20 92
e 20 98
e 20 112
e 20 140
e 20 145
e 20 151
e 20 153
e 20 164
e 20 189
e 20 197
e 21 26
e 21 70
e 21 102
e 21 110
e 21 119
e 21 148
e 21 153
e 21 178
e 21 182
e 22 30
e 22 33
e 22 55
e 22 77
e 22 99
e 22 109
e 22 142
e 22 171
e 23 28
e 23 29
e 23 54
e 23 70
e 23 73
e 23 95
e 23 102
e 23 106
e 23 109
e 23 113
e 23 114
e 23 159
e 23 174
e 23 197
e 24 37
e 24 61
e 24 68
e 24 78
e 24 87
e 24 106
e 24 125
e 24 132
e 24 143
e 24 145
e 24 181
e 24 185
e 24 199
e 25 28
e 25 47
e 25 61
e 25 68
e 25 69
e 25 78
e 25 85
e 25 100
e 25 103
e 25 108
e 25 146
e 25 147
e 25 156
e 25 167
e 25 177
e 25 186
e 25 195
e 26 29
e 26 31
e 26 78
e 26 87
e 26 91
e 26 94
e 26 95
e 26 108
e 26 157
e 26 179
e 26 198
e 27 46
e 27 60
e 27 68
e 27 84
e 27 91
e 27 95
e 27 100
e 27 145
e 27 171
e 27 184
e 27 192
e 28 44
e 28 89
e 28 162
e 28 199
e 29 57
e 29 77
e 29 162
e 30 52
e 30 55
e 30 56
e 30 73
e 30 93
e 30 122
e 30 166
e 30 172
e 31 74
e 31 135
e 31 142
e 31 146
e 31 169
e 31 197
e 32 58
e 32 81
e 32 92
e 32 132
e 32 149
e 33 37
e 33 60
e 33 72
e 33 91
e 33 107
e 33 115
e 33 136
e 33 152
e 34 53
e 34 74
e 34 82
e 34 84
e 34 88
e 34 126
e 34 143
e 34 156
e 34 181
e 34 182
e 34 194
e 35 48
e 35 76
e 35 87
e 35 97
e 35 134
e 35 141
e 35 165
e 35 175
e 35 192
e 35 195
e 36 39
e 36 48
e 36 73
e 36 88
e 36 120
e 36 124
e 36 139
e 36 156
e 36 158
e 36 159
e 36 161
e 37 41
e 37 48
e 37 72
e 37 92
e 37 102
e 37 124
e 37 135
e 37 154
e 37 160
e 37 173
e 37 200
e 38 41
e 38 52
e 38 53
e 38 65
e 38 69
e 38 72
e 38 91
e 38 111
e 38 118
e 38 143
e 38 162
e 38 165
e 38 168
e 38 197
e 38 200
e 39 40
e 39 64
e 39 71
e 39 95
e 39 132
e 39 137
e 39 157
e 40 56
e 40 57
e 40 58
e 40 88
e 40 107
e 40 148
e 40 149
e 40 153
e 41 154
e 42 92
e 42 116
e 42 129
e 42 133
e 42 149
e 42 163
e 42 185
e 43 94
e 43 95
e 43 97
e 43 99
e 43 111
e 43 142
e 43 163
e 43 164
e 44 47
e 44 53
e 44 96
e 44 125
e 44 128
e 44 130
e 44 156
e 44 170
e 44 176
e 45 50
e 45 88
e 45 95
e 45 114
e 45 121
e 45 147
e 45 163
e 46 58
e 46 66
e 46 76
e 46 88
e 46 97
e 46 159
e 46 176
e 47 60
e 47 69
e 47 77
e 47 121
e 47 136
e 47 148
e 47 178
e 47 185
e 48 63
e 48 79
e 48 88
e 48 96
e 48 103
e 48 112
e 48 126
e 48 135
e 48 159
e 48 160
e 48 184
e 48 191
e 49 58
e 49 71
e 49 99
e 49 100
e 49 105
e 49 130
e 49 138
e 49 146
e 49 198
e 50 52
e 50 68
e 50 120
e 50 141
e 50 142
e 50 161
e 51 97
e 51 106
e 51 113
e 51 126
e 51 147
e 51 162
e 51 174
e 51 189
e 51 194
e 52 53
e 52 70
e 52 72
e 52 74
e 52 88
e 52 89
e 52 120
e 52 122
e 52 132
e 52 179
e 53 82
e 53 84
e 53 98
e 53 99
e 53 108
e 53 151
e 53 179
e 53 180
e 53 193
e 53 200
e 54 64
e 54 65
e 54 83
e 54 90
e 54 124
e 54 144
e 54 155
e 54 161
e 55 110
e 55 169
e 55 192
e 56 91
e 56 130
e 56 147
e 56 175
e 56 184
e 56 190
e 56 195
e 57 59
e 57 76
e 57 93
e 57 94
e 57 98
e 57 112
e 57 140
e 57 172
e 57 190
e 58 65
e 58 85
e 58 86
e 58 103
e 58 109
e 58 141
e 58 156
e 58 168
e 58 173
e 58 178
e 58 186
e 58 190
e 58 193
e 59 65
e 59 90
e 59 112
e 59 121
e 59 151
e 59 173
e 59 189
e 60 99
e 60 119
e 60 128
e 60 166
e 61 93
e 61 98
e 61 128
e 61 194
e 61 199
e 62 93
e 62 97
e 62 100
e 62 109
e 62 111
e 62 180
e 63 65
e 63 107
e 63 144
e 63 181
e 64 65
e 64 76
e 64 80
e 64 81
e 64 84
e 64 92
e 64 114
e 64 115
e 64 143
e 64 154
e 64 168
e 65 122
e 65 186
e 65 190
e 66 99
e 66 100
e 66 108
e 66 132
e 66 160
e 67 120
e 67 153
e 67 169
e 67 189
e 67 192
e 67 197
e 67 200
e 68 77
e 68 99
e 68 117
e 68 120
e 68 149
e 68 162
e 68 171
e 69 83
e 69 101
e 69 155
e 69 190
e 69 191
e 70 81
e 70 85
e 70 91
e 70 93
e 70 101
e 70 140
e 70 148
e 70 170
e 70 174
e 70 178
e 71 76
e 71 100
e 71 130
e 71 132
e 71 134
e 71 135
e 71 165
e 71 170
e 71 186
e 72 74
e 72 139
e 72 174
e 72 189
e 73 74
e 73 79
e 74 97
e 74 123
e 74 130
e 74 161
e 74 162
e 74 163
e 74 167
e 74 195
e 74 197
e 74 198
e 75 91
e 75 93
e 75 94
e 75 129
e 75 133
e 75 136
e 75 149
e 75 154
e 75 162
e 75 184
e 75 186
e 76 80
e 76 149
e 76 160
e 76 181
e 77 137
e 77 146
e 78 91
e 78 97
e 78 139
e 78 181
e 78 184
e 79 85
e 79 95
e 79 124
e 79 126
e 79 162
e 79 194
e 80 86
e 81 89
e 81 125
e 81 150
e 81 167
e 81 168
e 81 175
e 82 94
e 82 98
e 82 148
e 82 157
e 82 158
e 82 186
e 83 102
e 83 122
e 83 149
e 83 155
e 83 185
e 83 197
e 84 114
e 84 121
e 84 149
e 84 186
e 84 191
e 85 97
e 85 99
e 85 103
e 85 116
e 85 131
e 85 179
e 85 182
e 85 197
e 85 198
e 86 130
e 86 131
e 86 147
e 86 196
e 87 99
e 87 103
e 87 124
e 87 143
e 87 157
e 87 172
e 87 178
e 87 181
e 87 186
e 88 111
e 88 128
e 88 152
e 88 180
e 89 102
e 89 128
e 89 143
e 89 146
e 89 166
e 89 186
e 90 94
e 90 96
e 90 131
e 90 132
e 90 164
e 90 190
e 91 100
e 91 104
e 91 143
e 91 151
e 91 166
e 91 185
e 92 98
e 92 106
e 92 109
e 92 137
e 92 163
e 92 180
e 92 198
e 93 95
e 93 115
e 93 175
e 93 177
e 93 186
e 94 100
e 94 128
e 94 152
e 94 162
e 95 97
e 95 116
e 95 121
e 95 138
e 95 190
e 96 98
e 96 105
e 96 120
e 96 144
e 96 146
e 96 189
e 96 196
e 97 103
e 97 120
e 97 127
e 97 140
e 97 141
e 97 145
e 97 147
e 98 102
e 98 106
e 98 109
e 98 111
e 98 114
e 98 115
e 98 144
e 98 153
e 98 164
e 98 175
e 98 181
e 99 106
e 99 110
e 99 124
e 99 125
e 99 127
e 99 137
e 99 157
e 99 168
e 99 197
e 100 110
e 100 180
e 101 110
e 101 116
e 101 141
e 101 147
e 101 157
e 102 148
e 103 108
e 103 132
e 103 140
e 103 141
e 103 149
e 103 182
e 103 187
e 103 198
e 104 108
e 104 120
e 104 152
e 104 183
e 104 188
e 105 129
e 105 158
e 105 176
e 105 182
e 105 191
e 105 192
e 106 109
e 106 110
e 106 120
e 106 190
e 106 197
e 107 122
e 107 138
e 107 159
e 108 119
e 108 136
e 108 141
e 108 150
e 108 154
e 108 182
e 108 183
e 108 196
e 108 197
e 109 146
e 109 175
e 109 179
e 110 126
e 110 178
e 110 189
e 111 186
e 111 189
e 111 190
e 112 138
e 112 141
e 112 150
e 112 156
e 112 175
e 112 179
e 113 155
e 113 161
e 114 115
e 114 137
e 114 151
e 114 157
e 114 178
e 114 179
e 115 146
e 115 158
e 115 176
e 115 199
e 116 123
e 116 160
e 116 173
e 116 190
e 116 197
e 117 141
e 117 148
e 117 175
e 117 181
e 117 195
e 118 121
e 118 166
e 118 179
e 118 192
e 119 166
e 120 124
e 120 134
e 121 168
e 121 170
e 121 178
e 122 161
e 122 174
e 122 176
e 122 200
e 123 125
e 123 186
e 124 126
e 125 139
e 125 141
e 125 152
e 125 156
e 125 198
e 126 141
e 126 153
e 126 154
e 126 160
e 126 179
e 126 182
e 126 184
e 126 187
e 127 183
e 127 199
e 127 200
e 128 141
e 128 190
e 129 130
e 129 158
e 129 184
e 130 138
e 130 144
e 130 175
e 130 176
e 131 146
e 132 143
e 133 148
e 133 163
e 133 169
e 133 188
e 133 198
e 134 154
e 134 169
e 134 178
e 134 181
e 134 185
e 135 155
e 136 138
e 136 156
e 136 162
e 136 180
e 136 190
e 137 141
e 137 147
e 137 177
e 138 157
e 138 164
e 138 186
e 139 192
e 139 199
e 140 147
e 140 155
e 140 159
e 141 172
e 141 195
e 141 199
e 141 200
e 142 152
e 142 164
e 142 197
e 143 149
e 143 156
e 143 186
e 144 175
e 144 187
e 144 191
e 145 152
e 145 165
e 145 181
e 145 185
e 145 200
e 146 148
e 146 150
e 146 158
e 146 189
e 147 148
e 147 159
e 147 177
e 147 197
e 148 149
e 148 169
e 148 179
e 148 182
e 148 183
e 148 199
e 149 159
e 149 195
e 151 160
e 151 199
e 152 161
e 152 167
e 152 171
e 152 193
e 153 168
e 153 169
e 153 184
e 153 186
e 153 187
e 153 199
e 154 165
e 154 171
e 155 164
e 155 165
e 155 188
e 155 189
e 156 173
e 156 178
e 157 164
e 157 170
e 157 171
e 157 173
e 157 196
e 158 164
e 158 165
e 158 172
e 159 166
e 159 177
e 159 190
e 160 173
e 160 176
e 160 194
e 161 162
e 161 180
e 162 184
e 162 194
e 163 181
e 163 197
e 164 172
e 164 195
e 165 182
e 166 180
e 167 170
e 167 189
e 167 200
e 168 189
e 168 198
e 169 189
e 169 197
e 170 189
e 170 199
e 171 175
e 172 180
e 172 183
e 173 174
e 175 180
e 178 187
e 180 194
e 180 197
e 181 184
e 181 192
e 182 190
e 183 190
e 183 194
e 183 197
e 184 197
e 189 194
e 189 199
e 190 191
e 193 197
