n 200 
m 1045
e 1 4
e 1 12
e 1 14
e 1 40
e 1 55
e 1 56
e 1 58
e 1 59
e 1 77
e 1 96
e 1 121
e 1 140
e 2 10
e 2 17
e 2 43
e 2 85
e 2 98
e 2 122
e 2 123
e 2 131
e 2 161
e 3 11
e 3 34
e 3 35
e 3 45
e 3 100
e 3 129
e 3 182
e 3 194
e 4 15
e 4 22
e 4 37
e 4 49
e 4 68
e 4 110
e 4 121
e 4 139
e 4 140
e 4 186
e 4 194
e 5 41
e 5 48
e 5 64
e 5 140
e 5 146
e 5 179
e 6 55
e 6 62
e 6 69
e 6 90
e 6 150
e 6 174
e 7 11
e 7 15
e 7 20
e 7 57
e 7 72
e 7 73
e 7 89
e 7 99
e 7 145
e 7 159
e 7 191
e 8 16
e 8 27
e 8 32
e 8 48
e 8 64
e 8 89
e 8 110
e 8 176
e 8 200
e 9 32
e 9 80
e 9 90
e 9 94
e 9 100
e 9 111
e 9 119
e 9 125
e 9 139
e 9 161
e 9 199
e 10 18
e 10 47
e 10 72
e 10 80
e 10 91
e 10 106
e 10 115
e 10 118
e 10 124
e 10 132
e 10 144
e 10 145
e 10 161
e 10 175
e 10 192
e 11 53
e 11 68
e 11 80
e 11 93
e 11 98
e 11 112
e 11 140
e 11 142
e 11 153
e 11 167
e 11 187
e 12 46
e 12 48
e 12 70
e 12 98
e 12 119
e 12 121
e 12 131
e 12 145
e 12 157
e 12 168
e 12 187
e 13 21
e 13 28
e 13 36
e 13 55
e 13 58
e 13 81
e 13 105
e 13 107
e 13 118
e 13 120
e 13 124
e 13 125
e 13 132
e 13 133
e 13 145
e 13 174
e 14 44
e 14 53
e 14 60
e 14 62
e 14 90
e 14 176
e 14 189
e 15 45
e 15 48
e 15 50
e 15 61
e 15 69
e 15 131
e 15 180
e 15 194
e 16 39
e 16 41
e 16 49
e 16 55
e 16 68
e 16 74
e 16 77
e 16 81
e 16 86
e 16 95
e 16 114
e 16 118
e 16 120
e 16 125
e 16 128
e 16 136
e 16 146
e 16 173
e 17 45
e 17 61
e 17 74
e 17 152
e 17 182
e 17 183
e 18 22
e 18 33
e 18 50
e 18 56
e 18 62
e 18 93
e 18 100
e 18 103
e 18 108
e 18 116
e 18 118
e 18 120
e 18 130
e 18 143
e 18 171
e 18 175
e 18 182
e 18 191
e 18 193
e 18 200
e 19 34
e 19 46
e 19 56
e 19 74
e 19 79
e 19 93
e 19 95
e 19 97
e 19 132
e 19 155
e 19 159
e 19 172
e 19 176
e 19 179
e 19 184
e 20 25
e 20 30
e 20 34
e 20 49
e 20 61
e 20 75
e 20 91
e 20 105
e 20 121
e 20 162
e 20 183
e 20 195
e 20 196
e 21 25
e 21 26
e 21 43
e 21 48
e 21 61
e 21 76
e 21 88
e 21 89
e 21 105
e 21 130
e 21 136
e 21 149
e 21 150
e 21 162
e 21 167
e 22 34
e 22 40
e 22 80
e 22 90
e 22 96
e 22 97
e 22 119
e 22 152
e 23 24
e 23 37
e 23 83
e 23 86
e 23 96
e 23 109
e 23 117
e 23 119
e 23 127
e 23 145
e 23 156
e 23 163
e 23 169
e 23 179
e 23 187
e 24 26
e 24 34
e 24 45
e 24 54
e 24 67
e 24 76
e 24 142
e 24 158
e 24 164
e 24 193
e 24 196
e 25 28
e 25 32
e 25 41
e 25 75
e 25 104
e 25 144
e 25 148
e 25 159
e 25 171
e 25 191
e 26 54
e 26 97
e 26 120
e 26 126
e 26 159
e 26 160
e 26 179
e 26 190
e 27 30
e 27 56
e 27 58
e 27 81
e 27 86
e 27 104
e 27 148
e 27 151
e 28 29
e 28 70
e 28 83
e 28 90
e 28 94
e 28 114
e 28 123
e 28 145
e 28 152
e 28 161
e 28 191
e 29 46
e 29 58
e 29 83
e 29 104
e 29 160
e 29 163
e 29 175
e 30 33
e 30 47
e 30 99
e 30 130
e 30 144
e 30 157
e 30 158
e 30 165
e 30 197
e 31 69
e 31 77
e 31 94
e 31 117
e 31 122
e 31 131
e 31 145
e 31 156
e 31 162
e 31 177
e 31 180
e 31 200
e 32 35
e 32 40
e 32 46
e 32 68
e 32 70
e 32 73
e 32 117
e 32 121
e 32 122
e 32 127
e 32 134
e 32 135
e 32 141
e 32 151
e 32 179
e 32 184
e 33 51
e 33 82
e 33 136
e 33 145
e 33 167
e 34 42
e 34 48
e 34 49
e 34 115
e 34 117
e 34 139
e 34 162
e 34 164
e 34 181
e 34 186
e 35 46
e 35 58
e 35 121
e 35 158
e 35 171
e 36 44
e 36 58
e 36 79
e 36 107
e 36 113
e 36 148
e 36 173
e 36 190
e 37 40
e 37 59
e 37 84
e 37 111
e 37 119
e 37 152
e 37 155
e 37 183
e 38 65
e 38 83
e 38 113
e 38 126
e 38 145
e 38 151
e 38 157
e 38 159
e 38 161
e 39 47
e 39 82
e 39 104
e 39 111
e 39 164
e 39 168
e 39 170
e 39 173
e 39 181
e 39 188
e 40 52
e 40 57
e 40 66
e 40 100
e 40 110
e 40 118
e 40 139
e 40 141
e 40 178
e 40 182
e 40 186
e 41 71
e 41 114
e 41 132
e 41 144
e 41 160
e 41 189
e 42 65
e 42 82
e 42 95
e 42 114
e 42 117
e 42 171
e 43 53
e 43 55
e 43 68
e 43 71
e 43 73
e 43 116
e 43 125
e 43 145
e 43 165
e 43 175
e 44 54
e 44 85
e 44 113
e 44 148
e 45 70
e 45 77
e 45 81
e 45 99
e 45 100
e 45 115
e 45 143
e 45 176
e 45 200
e 46 49
e 46 58
e 46 63
e 46 64
e 46 84
e 46 107
e 46 121
e 46 139
e 46 193
e 47 101
e 47 117
e 47 124
e 47 129
e 47 189
e 47 197
e 48 53
e 48 67
e 48 99
e 48 108
e 48 112
e 48 138
e 48 139
e 48 140
e 48 163
e 48 197
e 49 51
e 49 75
e 49 77
e 49 97
e 49 127
e 49 137
e 49 175
e 49 194
e 50 68
e 50 76
e 50 82
e 50 87
e 50 107
e 50 150
e 51 59
e 51 64
e 51 66
e 51 77
e 51 88
e 51 104
e 51 108
e 51 117
e 51 197
e 52 65
e 52 106
e 52 130
e 52 163
e 52 181
e 53 56
e 53 65
e 53 122
e 53 164
e 53 184
e 54 60
e 54 101
e 54 127
e 55 87
e 55 94
e 55 113
e 55 157
e 55 162
e 55 166
e 55 168
e 55 170
e 56 107
e 56 125
e 56 146
e 56 170
e 56 195
e 57 64
e 57 74
e 57 75
e 57 89
e 57 101
e 57 116
e 57 117
e 57 138
e 58 75
e 58 89
e 58 147
e 58 158
e 58 161
e 58 178
e 58 197
e 59 74
e 59 106
e 59 129
e 59 166
e 59 177
e 60 108
e 60 112
e 60 156
e 60 163
e 60 178
e 60 190
e 61 104
e 61 108
e 61 109
e 61 172
e 61 173
e 61 189
e 61 193
e 61 199
e 62 104
e 62 127
e 62 195
e 62 198
e 63 92
e 63 97
e 63 116
e 63 120
e 63 139
e 63 141
e 63 146
e 64 123
e 64 126
e 64 129
e 64 133
e 64 173
e 64 189
e 65 69
e 65 71
e 65 80
e 65 81
e 65 113
e 65 117
e 65 118
e 65 154
e 65 177
e 65 184
e 65 196
e 66 85
e 66 102
e 66 107
e 66 138
e 66 169
e 66 171
e 67 92
e 67 94
e 67 111
e 67 150
e 67 158
e 67 171
e 67 172
e 67 194
e 68 86
e 68 91
e 68 92
e 68 98
e 68 117
e 68 148
e 68 188
e 69 84
e 69 91
e 69 106
e 69 120
e 69 133
e 69 136
e 69 189
e 69 190
e 70 74
